,Entity,Year,smokeCount
0,Afghanistan,1990,6797
1,Afghanistan,1995,10589
2,Afghanistan,2000,12987
3,Afghanistan,2005,15870
4,Afghanistan,2006,16337
5,Afghanistan,2010,17677
6,Afghanistan,2016,20952
7,Albania,1990,2291
8,Albania,1995,2477
9,Albania,2000,2925
10,Albania,2005,3310
11,Albania,2006,3317
12,Albania,2010,3385
13,Albania,2016,3638
14,Algeria,1990,8612
15,Algeria,1995,9103
16,Algeria,2000,9238
17,Algeria,2005,9431
18,Algeria,2006,9354
19,Algeria,2010,9481
20,Algeria,2016,10076
21,American Samoa,1990,35
22,American Samoa,1995,37
23,American Samoa,2000,37
24,American Samoa,2005,40
25,American Samoa,2006,40
26,American Samoa,2010,41
27,American Samoa,2016,48
28,Andorra,1990,56
29,Andorra,1995,64
30,Andorra,2000,60
31,Andorra,2005,72
32,Andorra,2006,75
33,Andorra,2010,84
34,Andorra,2016,96
35,Angola,1990,3090
36,Angola,1995,3460
37,Angola,2000,3506
38,Angola,2005,3786
39,Angola,2006,3871
40,Angola,2010,4264
41,Angola,2016,5210
42,Antigua and Barbuda,1990,12
43,Antigua and Barbuda,1995,11
44,Antigua and Barbuda,2000,11
45,Antigua and Barbuda,2005,10
46,Antigua and Barbuda,2006,10
47,Antigua and Barbuda,2010,10
48,Antigua and Barbuda,2016,11
49,Argentina,1990,39378
50,Argentina,1995,39853
51,Argentina,2000,41873
52,Argentina,2005,42350
53,Argentina,2006,42397
54,Argentina,2010,43059
55,Argentina,2016,43691
56,Armenia,1990,4010
57,Armenia,1995,4859
58,Armenia,2000,4562
59,Armenia,2005,4933
60,Armenia,2006,5099
61,Armenia,2010,4905
62,Armenia,2016,4346
63,Australia,1990,20673
64,Australia,1995,20013
65,Australia,2000,18892
66,Australia,2005,18133
67,Australia,2006,18316
68,Australia,2010,19262
69,Australia,2016,21267
70,Austria,1990,11173
71,Austria,1995,10647
72,Austria,2000,10159
73,Austria,2005,9469
74,Austria,2006,9366
75,Austria,2010,9316
76,Austria,2016,9688
77,Azerbaijan,1990,5970
78,Azerbaijan,1995,6936
79,Azerbaijan,2000,6916
80,Azerbaijan,2005,7631
81,Azerbaijan,2006,7830
82,Azerbaijan,2010,8693
83,Azerbaijan,2016,9430
84,Bahamas,1990,98
85,Bahamas,1995,109
86,Bahamas,2000,110
87,Bahamas,2005,122
88,Bahamas,2006,119
89,Bahamas,2010,131
90,Bahamas,2016,156
91,Bahrain,1990,281
92,Bahrain,1995,288
93,Bahrain,2000,266
94,Bahrain,2005,256
95,Bahrain,2006,258
96,Bahrain,2010,256
97,Bahrain,2016,287
98,Bangladesh,1990,82656
99,Bangladesh,1995,86814
100,Bangladesh,2000,90649
101,Bangladesh,2005,89936
102,Bangladesh,2006,93758
103,Bangladesh,2010,108532
104,Bangladesh,2016,145617
105,Barbados,1990,72
106,Barbados,1995,77
107,Barbados,2000,68
108,Barbados,2005,64
109,Barbados,2006,65
110,Barbados,2010,63
111,Barbados,2016,73
112,Belarus,1990,17671
113,Belarus,1995,23056
114,Belarus,2000,23155
115,Belarus,2005,22740
116,Belarus,2006,21690
117,Belarus,2010,19855
118,Belarus,2016,15892
119,Belgium,1990,20230
120,Belgium,1995,20397
121,Belgium,2000,19356
122,Belgium,2005,18221
123,Belgium,2006,17925
124,Belgium,2010,18211
125,Belgium,2016,18111
126,Belize,1990,46
127,Belize,1995,71
128,Belize,2000,90
129,Belize,2005,88
130,Belize,2006,89
131,Belize,2010,99
132,Belize,2016,122
133,Benin,1990,1092
134,Benin,1995,1267
135,Benin,2000,1471
136,Benin,2005,1708
137,Benin,2006,1766
138,Benin,2010,2086
139,Benin,2016,2431
140,Bermuda,1990,66
141,Bermuda,1995,67
142,Bermuda,2000,70
143,Bermuda,2005,56
144,Bermuda,2006,56
145,Bermuda,2010,51
146,Bermuda,2016,48
147,Bhutan,1990,121
148,Bhutan,1995,103
149,Bhutan,2000,93
150,Bhutan,2005,103
151,Bhutan,2006,103
152,Bhutan,2010,113
153,Bhutan,2016,142
154,Bolivia,1990,3038
155,Bolivia,1995,3007
156,Bolivia,2000,2893
157,Bolivia,2005,3128
158,Bolivia,2006,3157
159,Bolivia,2010,3476
160,Bolivia,2016,4133
161,Bosnia and Herzegovina,1990,6764
162,Bosnia and Herzegovina,1995,6826
163,Bosnia and Herzegovina,2000,6614
164,Bosnia and Herzegovina,2005,7215
165,Bosnia and Herzegovina,2006,7309
166,Bosnia and Herzegovina,2010,7440
167,Bosnia and Herzegovina,2016,7853
168,Botswana,1990,619
169,Botswana,1995,858
170,Botswana,2000,1281
171,Botswana,2005,1289
172,Botswana,2006,1268
173,Botswana,2010,1231
174,Botswana,2016,1308
175,Brazil,1990,115110
176,Brazil,1995,124631
177,Brazil,2000,128115
178,Brazil,2005,128398
179,Brazil,2006,128483
180,Brazil,2010,128433
181,Brazil,2016,131903
182,Brunei,1990,114
183,Brunei,1995,127
184,Brunei,2000,114
185,Brunei,2005,131
186,Brunei,2006,137
187,Brunei,2010,156
188,Brunei,2016,213
189,Bulgaria,1990,18242
190,Bulgaria,1995,19170
191,Bulgaria,2000,18051
192,Bulgaria,2005,17813
193,Bulgaria,2006,17715
194,Bulgaria,2010,16199
195,Bulgaria,2016,14910
196,Burkina Faso,1990,3015
197,Burkina Faso,1995,3280
198,Burkina Faso,2000,3785
199,Burkina Faso,2005,4090
200,Burkina Faso,2006,4128
201,Burkina Faso,2010,3715
202,Burkina Faso,2016,3588
203,Burundi,1990,2159
204,Burundi,1995,2249
205,Burundi,2000,1899
206,Burundi,2005,1683
207,Burundi,2006,1670
208,Burundi,2010,1730
209,Burundi,2016,2051
210,Cambodia,1990,7623
211,Cambodia,1995,9120
212,Cambodia,2000,10402
213,Cambodia,2005,11517
214,Cambodia,2006,11453
215,Cambodia,2010,11913
216,Cambodia,2016,13201
217,Cameroon,1990,3327
218,Cameroon,1995,3890
219,Cameroon,2000,4916
220,Cameroon,2005,5446
221,Cameroon,2006,5525
222,Cameroon,2010,5900
223,Cameroon,2016,6681
224,Canada,1990,40579
225,Canada,1995,42562
226,Canada,2000,42655
227,Canada,2005,43230
228,Canada,2006,43267
229,Canada,2010,42588
230,Canada,2016,45947
231,Cape Verde,1990,136
232,Cape Verde,1995,150
233,Cape Verde,2000,157
234,Cape Verde,2005,186
235,Cape Verde,2006,190
236,Cape Verde,2010,204
237,Cape Verde,2016,201
238,Caribbean,1990,26340
239,Caribbean,1995,28469
240,Caribbean,2000,29594
241,Caribbean,2005,30609
242,Caribbean,2006,30828
243,Caribbean,2010,31703
244,Caribbean,2016,33828
245,Central African Republic,1990,1484
246,Central African Republic,1995,1737
247,Central African Republic,2000,1956
248,Central African Republic,2005,2076
249,Central African Republic,2006,2112
250,Central African Republic,2010,2269
251,Central African Republic,2016,2649
252,Central Asia,1990,60281
253,Central Asia,1995,72127
254,Central Asia,2000,68376
255,Central Asia,2005,72307
256,Central Asia,2006,72051
257,Central Asia,2010,66990
258,Central Asia,2016,64419
259,Central Europe,1990,236352
260,Central Europe,1995,240781
261,Central Europe,2000,229657
262,Central Europe,2005,226755
263,Central Europe,2006,226218
264,Central Europe,2010,223553
265,Central Europe,2016,206558
266,Central Sub-Saharan Africa,1990,14930
267,Central Sub-Saharan Africa,1995,17302
268,Central Sub-Saharan Africa,2000,19021
269,Central Sub-Saharan Africa,2005,20010
270,Central Sub-Saharan Africa,2006,20445
271,Central Sub-Saharan Africa,2010,23288
272,Central Sub-Saharan Africa,2016,28206
273,Chad,1990,1432
274,Chad,1995,1650
275,Chad,2000,2151
276,Chad,2005,2338
277,Chad,2006,2368
278,Chad,2010,2702
279,Chad,2016,3022
280,Chile,1990,9203
281,Chile,1995,9115
282,Chile,2000,8663
283,Chile,2005,9231
284,Chile,2006,9190
285,Chile,2010,10008
286,Chile,2016,10828
287,China,1990,1402682
288,China,1995,1593362
289,China,2000,1766872
290,China,2005,1826367
291,China,2006,1762405
292,China,2010,1784484
293,China,2016,1759072
294,Colombia,1990,14223
295,Colombia,1995,15766
296,Colombia,2000,16773
297,Colombia,2005,18324
298,Colombia,2006,19096
299,Colombia,2010,19326
300,Colombia,2016,18475
301,Comoros,1990,138
302,Comoros,1995,153
303,Comoros,2000,152
304,Comoros,2005,147
305,Comoros,2006,150
306,Comoros,2010,152
307,Comoros,2016,154
308,Congo,1990,1165
309,Congo,1995,1286
310,Congo,2000,1202
311,Congo,2005,1000
312,Congo,2006,1000
313,Congo,2010,1046
314,Congo,2016,1246
315,Costa Rica,1990,742
316,Costa Rica,1995,860
317,Costa Rica,2000,1023
318,Costa Rica,2005,978
319,Costa Rica,2006,935
320,Costa Rica,2010,899
321,Costa Rica,2016,1015
322,Cote d'Ivoire,1990,3446
323,Cote d'Ivoire,1995,4755
324,Cote d'Ivoire,2000,5154
325,Cote d'Ivoire,2005,5147
326,Cote d'Ivoire,2006,5228
327,Cote d'Ivoire,2010,5531
328,Cote d'Ivoire,2016,6606
329,Croatia,1990,11028
330,Croatia,1995,10516
331,Croatia,2000,9831
332,Croatia,2005,9129
333,Croatia,2006,9057
334,Croatia,2010,8812
335,Croatia,2016,8515
336,Cuba,1990,13686
337,Cuba,1995,14386
338,Cuba,2000,14985
339,Cuba,2005,16113
340,Cuba,2006,16285
341,Cuba,2010,16816
342,Cuba,2016,18044
343,Cyprus,1990,661
344,Cyprus,1995,701
345,Cyprus,2000,692
346,Cyprus,2005,767
347,Cyprus,2006,750
348,Cyprus,2010,820
349,Cyprus,2016,836
350,Czech Republic,1990,23843
351,Czech Republic,1995,21026
352,Czech Republic,2000,19413
353,Czech Republic,2005,18223
354,Czech Republic,2006,17851
355,Czech Republic,2010,17637
356,Czech Republic,2016,15938
357,Democratic Republic of Congo,1990,8520
358,Democratic Republic of Congo,1995,10111
359,Democratic Republic of Congo,2000,11692
360,Democratic Republic of Congo,2005,12548
361,Democratic Republic of Congo,2006,12867
362,Democratic Republic of Congo,2010,15147
363,Democratic Republic of Congo,2016,18509
364,Denmark,1990,14594
365,Denmark,1995,14939
366,Denmark,2000,13990
367,Denmark,2005,13235
368,Denmark,2006,13025
369,Denmark,2010,12199
370,Denmark,2016,11167
371,Djibouti,1990,190
372,Djibouti,1995,223
373,Djibouti,2000,255
374,Djibouti,2005,296
375,Djibouti,2006,308
376,Djibouti,2010,384
377,Djibouti,2016,410
378,Dominica,1990,25
379,Dominica,1995,29
380,Dominica,2000,25
381,Dominica,2005,26
382,Dominica,2006,26
383,Dominica,2010,29
384,Dominica,2016,33
385,Dominican Republic,1990,3158
386,Dominican Republic,1995,3820
387,Dominican Republic,2000,4307
388,Dominican Republic,2005,4393
389,Dominican Republic,2006,4431
390,Dominican Republic,2010,4398
391,Dominican Republic,2016,4679
392,East Asia,1990,1450407
393,East Asia,1995,1652183
394,East Asia,2000,1836429
395,East Asia,2005,1906128
396,East Asia,2006,1843586
397,East Asia,2010,1872483
398,East Asia,2016,1855765
399,Eastern Europe,1990,413332
400,Eastern Europe,1995,563568
401,Eastern Europe,2000,524107
402,Eastern Europe,2005,538210
403,Eastern Europe,2006,499565
404,Eastern Europe,2010,437664
405,Eastern Europe,2016,397901
406,Eastern Sub-Saharan Africa,1990,50916
407,Eastern Sub-Saharan Africa,1995,56075
408,Eastern Sub-Saharan Africa,2000,60203
409,Eastern Sub-Saharan Africa,2005,64341
410,Eastern Sub-Saharan Africa,2006,65818
411,Eastern Sub-Saharan Africa,2010,72486
412,Eastern Sub-Saharan Africa,2016,81554
413,Ecuador,1990,2199
414,Ecuador,1995,2576
415,Ecuador,2000,2849
416,Ecuador,2005,3071
417,Ecuador,2006,3030
418,Ecuador,2010,2965
419,Ecuador,2016,3016
420,Egypt,1990,28038
421,Egypt,1995,30188
422,Egypt,2000,31657
423,Egypt,2005,36956
424,Egypt,2006,38498
425,Egypt,2010,44323
426,Egypt,2016,50243
427,El Salvador,1990,1068
428,El Salvador,1995,1066
429,El Salvador,2000,1057
430,El Salvador,2005,1140
431,El Salvador,2006,1142
432,El Salvador,2010,1170
433,El Salvador,2016,1305
434,England,1990,118190
435,England,1995,107982
436,England,2000,98070
437,England,2005,91843
438,England,2006,89827
439,England,2010,85793
440,England,2016,89836
441,Equatorial Guinea,1990,115
442,Equatorial Guinea,1995,115
443,Equatorial Guinea,2000,114
444,Equatorial Guinea,2005,100
445,Equatorial Guinea,2006,105
446,Equatorial Guinea,2010,112
447,Equatorial Guinea,2016,130
448,Eritrea,1990,737
449,Eritrea,1995,530
450,Eritrea,2000,524
451,Eritrea,2005,603
452,Eritrea,2006,612
453,Eritrea,2010,640
454,Eritrea,2016,658
455,Estonia,1990,2994
456,Estonia,1995,3410
457,Estonia,2000,2792
458,Estonia,2005,2548
459,Estonia,2006,2555
460,Estonia,2010,2022
461,Estonia,2016,1867
462,Ethiopia,1990,15822
463,Ethiopia,1995,14921
464,Ethiopia,2000,12767
465,Ethiopia,2005,11841
466,Ethiopia,2006,11990
467,Ethiopia,2010,12876
468,Ethiopia,2016,14826
469,Fiji,1990,517
470,Fiji,1995,574
471,Fiji,2000,608
472,Fiji,2005,628
473,Fiji,2006,636
474,Fiji,2010,643
475,Fiji,2016,695
476,Finland,1990,6732
477,Finland,1995,6027
478,Finland,2000,5714
479,Finland,2005,5551
480,Finland,2006,5573
481,Finland,2010,5474
482,Finland,2016,4954
483,France,1990,70096
484,France,1995,70861
485,France,2000,71564
486,France,2005,70629
487,France,2006,70916
488,France,2010,73594
489,France,2016,71647
490,Gabon,1990,557
491,Gabon,1995,593
492,Gabon,2000,550
493,Gabon,2005,500
494,Gabon,2006,489
495,Gabon,2010,449
496,Gabon,2016,462
497,Gambia,1990,196
498,Gambia,1995,223
499,Gambia,2000,261
500,Gambia,2005,294
501,Gambia,2006,302
502,Gambia,2010,315
503,Gambia,2016,349
504,Georgia,1990,6805
505,Georgia,1995,5784
506,Georgia,2000,5686
507,Georgia,2005,6600
508,Georgia,2006,6524
509,Georgia,2010,6754
510,Georgia,2016,6132
511,Germany,1990,140818
512,Germany,1995,130416
513,Germany,2000,120019
514,Germany,2005,117389
515,Germany,2006,117259
516,Germany,2010,118839
517,Germany,2016,120655
518,Ghana,1990,2318
519,Ghana,1995,2652
520,Ghana,2000,3514
521,Ghana,2005,4165
522,Ghana,2006,4248
523,Ghana,2010,4344
524,Ghana,2016,4321
525,Greece,1990,17025
526,Greece,1995,18118
527,Greece,2000,18794
528,Greece,2005,19345
529,Greece,2006,19344
530,Greece,2010,20163
531,Greece,2016,21146
532,Greenland,1990,128
533,Greenland,1995,125
534,Greenland,2000,134
535,Greenland,2005,138
536,Greenland,2006,133
537,Greenland,2010,131
538,Greenland,2016,131
539,Grenada,1990,44
540,Grenada,1995,43
541,Grenada,2000,44
542,Grenada,2005,49
543,Grenada,2006,49
544,Grenada,2010,48
545,Grenada,2016,54
546,Guam,1990,109
547,Guam,1995,125
548,Guam,2000,147
549,Guam,2005,178
550,Guam,2006,187
551,Guam,2010,224
552,Guam,2016,266
553,Guatemala,1990,1398
554,Guatemala,1995,1650
555,Guatemala,2000,1846
556,Guatemala,2005,1870
557,Guatemala,2006,1811
558,Guatemala,2010,1724
559,Guatemala,2016,1952
560,Guinea,1990,1439
561,Guinea,1995,2084
562,Guinea,2000,2539
563,Guinea,2005,2700
564,Guinea,2006,2797
565,Guinea,2010,3257
566,Guinea,2016,3781
567,Guinea-Bissau,1990,504
568,Guinea-Bissau,1995,525
569,Guinea-Bissau,2000,562
570,Guinea-Bissau,2005,624
571,Guinea-Bissau,2006,636
572,Guinea-Bissau,2010,708
573,Guinea-Bissau,2016,805
574,Guyana,1990,371
575,Guyana,1995,371
576,Guyana,2000,343
577,Guyana,2005,385
578,Guyana,2006,386
579,Guyana,2010,420
580,Guyana,2016,435
581,Haiti,1990,4657
582,Haiti,1995,4746
583,Haiti,2000,4594
584,Haiti,2005,4524
585,Haiti,2006,4489
586,Haiti,2010,4661
587,Haiti,2016,4828
588,High SDI,1990,1407300
589,High SDI,1995,1410094
590,High SDI,2000,1392884
591,High SDI,2005,1376398
592,High SDI,2006,1368601
593,High SDI,2010,1357396
594,High SDI,2016,1407671
595,High-income,1990,1364118
596,High-income,1995,1370265
597,High-income,2000,1364909
598,High-income,2005,1352975
599,High-income,2006,1343852
600,High-income,2010,1336309
601,High-income,2016,1393492
602,High-middle SDI,1990,1138146
603,High-middle SDI,1995,1370281
604,High-middle SDI,2000,1373490
605,High-middle SDI,2005,1392540
606,High-middle SDI,2006,1337164
607,High-middle SDI,2010,1271783
608,High-middle SDI,2016,1229953
609,Honduras,1990,1276
610,Honduras,1995,1486
611,Honduras,2000,1646
612,Honduras,2005,1865
613,Honduras,2006,1881
614,Honduras,2010,1951
615,Honduras,2016,2156
616,Hungary,1990,27654
617,Hungary,1995,27779
618,Hungary,2000,25925
619,Hungary,2005,26249
620,Hungary,2006,26385
621,Hungary,2010,26083
622,Hungary,2016,24702
623,Iceland,1990,339
624,Iceland,1995,344
625,Iceland,2000,327
626,Iceland,2005,319
627,Iceland,2006,321
628,Iceland,2010,323
629,Iceland,2016,356
630,India,1990,472597
631,India,1995,516654
632,India,2000,570151
633,India,2005,622382
634,India,2006,634592
635,India,2010,700842
636,India,2016,719991
637,Indonesia,1990,106178
638,Indonesia,1995,118067
639,Indonesia,2000,131298
640,Indonesia,2005,155508
641,Indonesia,2006,160281
642,Indonesia,2010,176129
643,Indonesia,2016,193876
644,Iran,1990,16888
645,Iran,1995,20463
646,Iran,2000,24363
647,Iran,2005,29174
648,Iran,2006,29730
649,Iran,2010,31091
650,Iran,2016,33014
651,Iraq,1990,10801
652,Iraq,1995,12551
653,Iraq,2000,14498
654,Iraq,2005,16254
655,Iraq,2006,16540
656,Iraq,2010,17211
657,Iraq,2016,18740
658,Ireland,1990,7312
659,Ireland,1995,7142
660,Ireland,2000,6763
661,Ireland,2005,5753
662,Ireland,2006,5626
663,Ireland,2010,5321
664,Ireland,2016,5401
665,Israel,1990,4469
666,Israel,1995,4861
667,Israel,2000,4674
668,Israel,2005,4739
669,Israel,2006,4764
670,Israel,2010,4660
671,Israel,2016,5127
672,Italy,1990,94314
673,Italy,1995,92707
674,Italy,2000,89051
675,Italy,2005,84044
676,Italy,2006,85387
677,Italy,2010,87578
678,Italy,2016,89501
679,Jamaica,1990,964
680,Jamaica,1995,1161
681,Jamaica,2000,1412
682,Jamaica,2005,1343
683,Jamaica,2006,1409
684,Jamaica,2010,1566
685,Jamaica,2016,1807
686,Japan,1990,125072
687,Japan,1995,133154
688,Japan,2000,137167
689,Japan,2005,142600
690,Japan,2006,143019
691,Japan,2010,146848
692,Japan,2016,147927
693,Jordan,1990,1284
694,Jordan,1995,1576
695,Jordan,2000,1742
696,Jordan,2005,2104
697,Jordan,2006,2135
698,Jordan,2010,2316
699,Jordan,2016,2764
700,Kazakhstan,1990,23415
701,Kazakhstan,1995,30045
702,Kazakhstan,2000,26473
703,Kazakhstan,2005,26546
704,Kazakhstan,2006,26233
705,Kazakhstan,2010,21784
706,Kazakhstan,2016,19461
707,Kenya,1990,2800
708,Kenya,1995,3624
709,Kenya,2000,4478
710,Kenya,2005,5116
711,Kenya,2006,5168
712,Kenya,2010,5553
713,Kenya,2016,6250
714,Kiribati,1990,96
715,Kiribati,1995,106
716,Kiribati,2000,123
717,Kiribati,2005,141
718,Kiribati,2006,147
719,Kiribati,2010,162
720,Kiribati,2016,179
721,Kuwait,1990,417
722,Kuwait,1995,399
723,Kuwait,2000,455
724,Kuwait,2005,540
725,Kuwait,2006,567
726,Kuwait,2010,588
727,Kuwait,2016,727
728,Kyrgyzstan,1990,4027
729,Kyrgyzstan,1995,5069
730,Kyrgyzstan,2000,4167
731,Kyrgyzstan,2005,4362
732,Kyrgyzstan,2006,4499
733,Kyrgyzstan,2010,4130
734,Kyrgyzstan,2016,3915
735,Laos,1990,4967
736,Laos,1995,5347
737,Laos,2000,5646
738,Laos,2005,5888
739,Laos,2006,5943
740,Laos,2010,6063
741,Laos,2016,6225
742,Latin America and Caribbean,1990,209858
743,Latin America and Caribbean,1995,230718
744,Latin America and Caribbean,2000,237817
745,Latin America and Caribbean,2005,244170
746,Latin America and Caribbean,2006,244848
747,Latin America and Caribbean,2010,250658
748,Latin America and Caribbean,2016,263457
749,Latvia,1990,5002
750,Latvia,1995,6147
751,Latvia,2000,4701
752,Latvia,2005,4998
753,Latvia,2006,5130
754,Latvia,2010,4095
755,Latvia,2016,3613
756,Lebanon,1990,2987
757,Lebanon,1995,2471
758,Lebanon,2000,2293
759,Lebanon,2005,2772
760,Lebanon,2006,2853
761,Lebanon,2010,3119
762,Lebanon,2016,4469
763,Lesotho,1990,992
764,Lesotho,1995,1201
765,Lesotho,2000,1615
766,Lesotho,2005,2043
767,Lesotho,2006,2087
768,Lesotho,2010,2098
769,Lesotho,2016,2115
770,Liberia,1990,388
771,Liberia,1995,367
772,Liberia,2000,518
773,Liberia,2005,553
774,Liberia,2006,583
775,Liberia,2010,725
776,Liberia,2016,820
777,Libya,1990,1331
778,Libya,1995,1507
779,Libya,2000,1819
780,Libya,2005,2120
781,Libya,2006,2180
782,Libya,2010,2441
783,Libya,2016,3130
784,Lithuania,1990,6105
785,Lithuania,1995,7059
786,Lithuania,2000,5429
787,Lithuania,2005,6166
788,Lithuania,2006,6270
789,Lithuania,2010,5369
790,Lithuania,2016,4646
791,Low SDI,1990,122592
792,Low SDI,1995,140297
793,Low SDI,2000,157349
794,Low SDI,2005,174808
795,Low SDI,2006,178830
796,Low SDI,2010,197173
797,Low SDI,2016,217817
798,Low-middle SDI,1990,846725
799,Low-middle SDI,1995,963642
800,Low-middle SDI,2000,1076410
801,Low-middle SDI,2005,1161117
802,Low-middle SDI,2006,1175021
803,Low-middle SDI,2010,1253934
804,Low-middle SDI,2016,1354726
805,Luxembourg,1990,699
806,Luxembourg,1995,666
807,Luxembourg,2000,605
808,Luxembourg,2005,576
809,Luxembourg,2006,566
