Entity,Code,Year,Smoking (deaths),Secondhand smoke (deaths)
Afghanistan,AFG,1990,6797.08373986,2431.42492653
Afghanistan,AFG,1995,10589.3769265,3890.17636483
Afghanistan,AFG,2000,12986.7553653,4748.46392149
Afghanistan,AFG,2005,15869.8187985,5694.58937293
Afghanistan,AFG,2006,16336.5709403,5660.14728192
Afghanistan,AFG,2010,17676.50263,5543.46968487
Afghanistan,AFG,2016,20951.9156545,6644.75356033
Albania,ALB,1990,2291.46972148,702.687385371
Albania,ALB,1995,2476.70957399,634.943592323
Albania,ALB,2000,2924.8336651,517.498975933
Albania,ALB,2005,3310.46787281,541.0979503
Albania,ALB,2006,3317.37983128,534.694560687
Albania,ALB,2010,3385.03389267,515.148869325
Albania,ALB,2016,3637.96237367,540.242350912
Algeria,DZA,1990,8612.26346761,3574.84457426
Algeria,DZA,1995,9102.994681,3307.17611239
Algeria,DZA,2000,9238.3401009,3382.44904744
Algeria,DZA,2005,9431.25636807,3450.97065718
Algeria,DZA,2006,9354.48391551,3572.46464833
Algeria,DZA,2010,9480.61384339,4193.63638789
Algeria,DZA,2016,10075.5614415,5252.90296291
American Samoa,ASM,1990,34.5330259952,3.94863677868
American Samoa,ASM,1995,36.6883031536,4.47363581412
American Samoa,ASM,2000,36.8769075965,4.90716720396
American Samoa,ASM,2005,39.9797112051,5.30529881682
American Samoa,ASM,2006,39.9820109743,5.3294072433
American Samoa,ASM,2010,41.3569305439,5.62477402212
American Samoa,ASM,2016,48.2466110325,6.79434794935
Andean Latin America,,1990,10091.9192766,3720.97346137
Andean Latin America,,1995,11752.7422196,3286.30803428
Andean Latin America,,2000,11123.8160928,2803.14536683
Andean Latin America,,2005,11706.834421,2547.81261134
Andean Latin America,,2006,11727.5739088,2456.23569105
Andean Latin America,,2010,12913.4078886,2311.24803131
Andean Latin America,,2016,13691.7603161,2381.66234839
Andorra,AND,1990,56.1799182612,4.74246919623
Andorra,AND,1995,64.2477998844,5.15784369078
Andorra,AND,2000,60.3109021105,3.9751164653
Andorra,AND,2005,72.278245351,4.30643261951
Andorra,AND,2006,74.6210410669,4.43555569707
Andorra,AND,2010,83.9247011373,4.80282620102
Andorra,AND,2016,95.804126922,5.09793347986
Angola,AGO,1990,3090.06931971,1577.61731584
Angola,AGO,1995,3459.54882149,1637.73482705
Angola,AGO,2000,3506.42763972,1635.48581656
Angola,AGO,2005,3786.30543783,1700.14485361
Angola,AGO,2006,3871.39519431,1685.6763218
Angola,AGO,2010,4263.8645488,1667.68338976
Angola,AGO,2016,5209.53477254,1301.79248306
Antigua and Barbuda,ATG,1990,11.649442486,7.11871938724
Antigua and Barbuda,ATG,1995,11.1455559032,7.7594077141
Antigua and Barbuda,ATG,2000,11.0432809035,7.37338601614
Antigua and Barbuda,ATG,2005,9.98225714897,7.39792682327
Antigua and Barbuda,ATG,2006,10.1275900636,7.50980578464
Antigua and Barbuda,ATG,2010,10.033200474,7.0081367385
Antigua and Barbuda,ATG,2016,11.4764639236,7.2838691172
Argentina,ARG,1990,39378.2242725,4532.14942157
Argentina,ARG,1995,39852.7429191,4544.91236755
Argentina,ARG,2000,41872.7023492,4943.47843973
Argentina,ARG,2005,42349.9775748,4898.19706258
Argentina,ARG,2006,42397.4162778,4891.77314498
Argentina,ARG,2010,43059.2538284,5013.5361639
Argentina,ARG,2016,43690.9440192,4972.1764083
Armenia,ARM,1990,4009.96501435,969.100162061
Armenia,ARM,1995,4859.37522656,983.507027848
Armenia,ARM,2000,4561.77872657,985.767937629
Armenia,ARM,2005,4932.97244988,941.126522639
Armenia,ARM,2006,5098.57146115,953.801528481
Armenia,ARM,2010,4904.82385182,915.279221137
Armenia,ARM,2016,4346.19440691,878.38116814
Australasia,,1990,25542.3794955,1510.33731319
Australasia,,1995,24689.7171574,1448.09232883
Australasia,,2000,23226.7778903,1401.89282443
Australasia,,2005,22278.5862778,1321.04672871
Australasia,,2006,22497.8475406,1314.19079057
Australasia,,2010,23405.3935318,1246.13694001
Australasia,,2016,25723.6252451,1375.0957906
Australia,AUS,1990,20673.3100196,1260.32710807
Australia,AUS,1995,20013.0491766,1214.67350233
Australia,AUS,2000,18892.4385379,1185.3887485
Australia,AUS,2005,18133.1031024,1110.85492723
Australia,AUS,2006,18316.0670112,1101.92842193
Australia,AUS,2010,19261.7101638,1045.9037966
Australia,AUS,2016,21266.7408612,1166.24495145
Austria,AUT,1990,11173.1749739,682.780368894
Austria,AUT,1995,10647.2833665,640.142793185
Austria,AUT,2000,10159.4932512,690.129289208
Austria,AUT,2005,9468.64756374,668.67501663
Austria,AUT,2006,9365.86669159,646.785848952
Austria,AUT,2010,9315.69512249,575.69218358
Austria,AUT,2016,9688.40068366,570.825665106
Azerbaijan,AZE,1990,5970.22129525,2712.68654493
Azerbaijan,AZE,1995,6935.58025799,2772.96136333
Azerbaijan,AZE,2000,6915.55268603,2455.05917754
Azerbaijan,AZE,2005,7630.74707523,2545.39997195
Azerbaijan,AZE,2006,7829.93234635,2597.6618587
Azerbaijan,AZE,2010,8692.6592243,3009.46961982
Azerbaijan,AZE,2016,9429.58776481,2820.35732445
Bahamas,BHS,1990,98.1500440619,13.382722335
Bahamas,BHS,1995,109.396370714,16.0899637796
Bahamas,BHS,2000,109.748146501,17.4261910991
Bahamas,BHS,2005,122.367133676,18.7907414604
Bahamas,BHS,2006,118.707580323,19.2923947951
Bahamas,BHS,2010,130.761032355,23.0290758011
Bahamas,BHS,2016,156.246512977,30.2445350451
Bahrain,BHR,1990,280.879841547,38.3630381339
Bahrain,BHR,1995,288.090494353,45.5140387024
Bahrain,BHR,2000,266.301035692,50.6178159962
Bahrain,BHR,2005,256.39027957,58.660851498
Bahrain,BHR,2006,258.154575534,61.1786108514
Bahrain,BHR,2010,255.512128003,69.6017106705
Bahrain,BHR,2016,286.786656889,80.9505073266
Bangladesh,BGD,1990,82655.5913282,17331.1919235
Bangladesh,BGD,1995,86813.9997447,13455.6008136
Bangladesh,BGD,2000,90648.8071446,12880.3889048
Bangladesh,BGD,2005,89935.7856173,14669.2373204
Bangladesh,BGD,2006,93758.4293743,14459.7387442
Bangladesh,BGD,2010,108532.375887,13982.751797
Bangladesh,BGD,2016,145617.122589,14412.0253203
Barbados,BRB,1990,71.5651745517,18.3707981364
Barbados,BRB,1995,77.0826301562,20.6929336343
Barbados,BRB,2000,67.8254234889,20.3750613663
Barbados,BRB,2005,64.4694105075,19.8294185045
Barbados,BRB,2006,64.7543719426,19.6509181352
Barbados,BRB,2010,63.3999268984,18.3845204881
Barbados,BRB,2016,73.1600072915,21.7407468945
Belarus,BLR,1990,17671.133027,2850.03310478
Belarus,BLR,1995,23055.8398562,2886.80103014
Belarus,BLR,2000,23154.6409967,2718.18862818
Belarus,BLR,2005,22739.9239596,2738.69161094
Belarus,BLR,2006,21689.7834869,2633.85872995
Belarus,BLR,2010,19855.3835702,2431.40073268
Belarus,BLR,2016,15892.4256139,2101.717943
Belgium,BEL,1990,20230.3336831,1195.40222481
Belgium,BEL,1995,20397.2811444,1102.98138257
Belgium,BEL,2000,19356.4652135,1002.66765071
Belgium,BEL,2005,18220.8351525,840.352650833
Belgium,BEL,2006,17924.8832265,813.012333446
Belgium,BEL,2010,18210.7148276,774.14379114
Belgium,BEL,2016,18110.9062868,785.472985314
Belize,BLZ,1990,46.4916017031,16.0298223707
Belize,BLZ,1995,70.8378320666,15.9389214259
Belize,BLZ,2000,89.841908443,16.1370314255
Belize,BLZ,2005,87.694925537,14.4940412335
Belize,BLZ,2006,88.8680084495,14.484969696
Belize,BLZ,2010,99.4369283165,15.1770063488
Belize,BLZ,2016,122.123486895,16.4516691385
Benin,BEN,1990,1091.90970594,633.667528219
Benin,BEN,1995,1266.96696327,698.096067231
Benin,BEN,2000,1471.16388475,613.973418478
Benin,BEN,2005,1708.17237851,515.291094538
Benin,BEN,2006,1765.75411838,499.010631777
Benin,BEN,2010,2085.53418364,481.533981406
Benin,BEN,2016,2430.80937104,451.560943119
Bermuda,BMU,1990,66.1042724734,7.3989599675
Bermuda,BMU,1995,66.773697039,7.55435936874
Bermuda,BMU,2000,69.7189337265,6.87429604903
Bermuda,BMU,2005,56.0808563272,5.45920469819
Bermuda,BMU,2006,55.8216548635,5.420847567
Bermuda,BMU,2010,51.0459796007,4.76991273978
Bermuda,BMU,2016,47.6743613782,4.21943538979
Bhutan,BTN,1990,120.597660151,109.916811919
Bhutan,BTN,1995,103.000745762,86.5982099453
Bhutan,BTN,2000,93.1364039997,84.4294151089
Bhutan,BTN,2005,102.539702779,74.7826605282
Bhutan,BTN,2006,103.114008208,72.017746545
Bhutan,BTN,2010,112.972137775,66.3868596811
Bhutan,BTN,2016,141.62560158,72.5959707613
Bolivia,BOL,1990,3038.23726729,1008.73829964
Bolivia,BOL,1995,3007.23456534,858.165360188
Bolivia,BOL,2000,2892.89522407,721.99978485
Bolivia,BOL,2005,3127.67235326,646.58010381
Bolivia,BOL,2006,3157.0177816,621.556318905
Bolivia,BOL,2010,3475.51094395,568.835204606
Bolivia,BOL,2016,4133.32577976,563.968009352
Bosnia and Herzegovina,BIH,1990,6763.58401484,591.312295979
Bosnia and Herzegovina,BIH,1995,6825.70520202,610.005741415
Bosnia and Herzegovina,BIH,2000,6613.79713275,610.229409209
Bosnia and Herzegovina,BIH,2005,7214.53629301,708.90092349
Bosnia and Herzegovina,BIH,2006,7309.17199017,721.465392133
Bosnia and Herzegovina,BIH,2010,7440.40243564,833.895925656
Bosnia and Herzegovina,BIH,2016,7852.79912054,887.413775353
Botswana,BWA,1990,619.421857188,153.492819495
Botswana,BWA,1995,858.200920744,183.439231808
Botswana,BWA,2000,1280.53722173,269.012054411
Botswana,BWA,2005,1289.10283797,282.168389536
Botswana,BWA,2006,1267.77038055,272.452975598
Botswana,BWA,2010,1230.75181969,247.411501142
Botswana,BWA,2016,1308.16790273,262.346551505
Brazil,BRA,1990,115110.045569,19903.5080803
Brazil,BRA,1995,124631.040285,19395.4264369
Brazil,BRA,2000,128114.662135,17605.2209956
Brazil,BRA,2005,128397.643084,16502.1137557
Brazil,BRA,2006,128483.101726,16296.2804971
Brazil,BRA,2010,128433.163671,16189.0067571
Brazil,BRA,2016,131902.912524,22163.701836
Brunei,BRN,1990,114.010002632,14.1853279707
Brunei,BRN,1995,127.164444432,15.1330767223
Brunei,BRN,2000,114.292734837,14.2209963931
Brunei,BRN,2005,131.070096733,16.3415947036
Brunei,BRN,2006,136.782854527,16.9875761378
Brunei,BRN,2010,156.202327011,18.8933448383
Brunei,BRN,2016,212.758357388,23.9976366115
Bulgaria,BGR,1990,18242.1108958,2841.93887878
Bulgaria,BGR,1995,19170.2656819,3004.15355906
Bulgaria,BGR,2000,18051.2590711,3044.23062635
Bulgaria,BGR,2005,17812.8236965,2843.74272299
Bulgaria,BGR,2006,17714.8799008,2851.31938588
Bulgaria,BGR,2010,16199.3836391,2635.79708069
Bulgaria,BGR,2016,14909.9879401,2445.76944889
Burkina Faso,BFA,1990,3015.19346411,1689.97824991
Burkina Faso,BFA,1995,3279.61805228,1513.33191467
Burkina Faso,BFA,2000,3785.38519706,1354.18657118
Burkina Faso,BFA,2005,4090.38918487,1320.38902692
Burkina Faso,BFA,2006,4128.19367741,1286.48775608
Burkina Faso,BFA,2010,3715.37856644,1182.19652674
Burkina Faso,BFA,2016,3587.52398695,1293.515525
Burundi,BDI,1990,2158.91186561,729.736573969
Burundi,BDI,1995,2248.56357364,632.994081727
Burundi,BDI,2000,1898.50037891,641.822716361
Burundi,BDI,2005,1682.93387095,644.248921476
Burundi,BDI,2006,1669.83502392,611.979269357
Burundi,BDI,2010,1730.170275,526.985539904
Burundi,BDI,2016,2051.35552667,543.286748834
Cambodia,KHM,1990,7622.67803213,2929.82391393
Cambodia,KHM,1995,9120.4854385,3028.66657566
Cambodia,KHM,2000,10401.8399156,3170.62353643
Cambodia,KHM,2005,11516.5822594,2842.3494182
Cambodia,KHM,2006,11453.4411662,2715.17986891
Cambodia,KHM,2010,11912.9529762,2354.28862657
Cambodia,KHM,2016,13201.451952,2098.86665078
Cameroon,CMR,1990,3327.19888669,1024.22226162
Cameroon,CMR,1995,3890.49316117,1158.38369854
Cameroon,CMR,2000,4916.34688921,1388.59472188
Cameroon,CMR,2005,5445.56892142,1316.31279703
Cameroon,CMR,2006,5525.01443698,1262.71518306
Cameroon,CMR,2010,5900.42392175,1339.5979696
Cameroon,CMR,2016,6680.99752927,1349.84959647
Canada,CAN,1990,40579.147721,2297.95176674
Canada,CAN,1995,42561.9165331,2350.63916229
Canada,CAN,2000,42655.3878952,2200.49423702
Canada,CAN,2005,43230.4041541,2014.22466988
Canada,CAN,2006,43267.2660898,2000.63108106
Canada,CAN,2010,42588.4612808,2004.85483949
Canada,CAN,2016,45946.5626535,2217.04465636
Cape Verde,CPV,1990,136.357473456,23.9842148542
Cape Verde,CPV,1995,149.842267432,23.6561390937
Cape Verde,CPV,2000,157.274006166,22.7441391147
Cape Verde,CPV,2005,186.298413953,22.2270551534
Cape Verde,CPV,2006,190.038939092,21.5973566523
Cape Verde,CPV,2010,203.904163395,20.7445102521
Cape Verde,CPV,2016,200.9908659,20.1802504753
Caribbean,,1990,26340.2696813,4094.12011505
Caribbean,,1995,28468.6949992,4187.31492396
Caribbean,,2000,29594.1977425,4038.61474324
Caribbean,,2005,30608.881908,3889.39846055
Caribbean,,2006,30828.3111825,3877.69931952
Caribbean,,2010,31702.8367147,3834.69944828
Caribbean,,2016,33828.2492475,4018.99605038
Central African Republic,CAF,1990,1483.74153913,422.391066372
Central African Republic,CAF,1995,1737.18370445,471.216735107
Central African Republic,CAF,2000,1955.81505775,506.911565743
Central African Republic,CAF,2005,2075.88752282,424.98654986
Central African Republic,CAF,2006,2112.2832453,437.404941088
Central African Republic,CAF,2010,2269.46172923,455.051261796
Central African Republic,CAF,2016,2648.62304417,449.759169207
Central Asia,,1990,60281.3237927,18602.1537105
Central Asia,,1995,72126.9713758,19633.1697352
Central Asia,,2000,68375.6942543,17962.6088297
Central Asia,,2005,72307.318959,17970.8883179
Central Asia,,2006,72050.9086701,17853.7652343
Central Asia,,2010,66990.1963357,16695.0392347
Central Asia,,2016,64419.304254,15572.4478008
Central Europe,,1990,236351.943092,29339.2742771
Central Europe,,1995,240781.412912,28624.984079
Central Europe,,2000,229656.582583,26349.132677
Central Europe,,2005,226754.908465,25468.5533022
Central Europe,,2006,226218.033047,25211.6971747
Central Europe,,2010,223553.319796,24652.2884269
Central Europe,,2016,206558.486267,23713.6137879
Central Latin America,,1990,56722.9775432,15151.2383765
Central Latin America,,1995,63934.727407,15367.3321761
Central Latin America,,2000,66697.9854993,14365.4476793
Central Latin America,,2005,70709.6186719,14341.5285428
Central Latin America,,2006,70971.4249348,14282.4807068
Central Latin America,,2010,74456.1156064,14957.7592664
Central Latin America,,2016,80599.2762003,17373.501223
Central Sub-Saharan Africa,,1990,14930.2911495,6125.52116642
Central Sub-Saharan Africa,,1995,17302.4784352,6751.79980579
Central Sub-Saharan Africa,,2000,19020.63826,7234.29583732
Central Sub-Saharan Africa,,2005,20010.1207422,7135.28645537
Central Sub-Saharan Africa,,2006,20444.9620698,7091.70298602
Central Sub-Saharan Africa,,2010,23287.7501969,6997.79864379
Central Sub-Saharan Africa,,2016,28205.8495364,6115.95489922
Chad,TCD,1990,1432.29994224,264.853849761
Chad,TCD,1995,1649.58531937,312.660278005
Chad,TCD,2000,2150.72552523,398.154115208
Chad,TCD,2005,2337.74268837,423.31404374
Chad,TCD,2006,2367.77056773,438.484766564
Chad,TCD,2010,2702.28285943,471.975733844
Chad,TCD,2016,3021.65128138,493.452126304
Chile,CHL,1990,9202.93633438,1601.98868687
Chile,CHL,1995,9114.91035891,1605.08014583
Chile,CHL,2000,8662.55639704,1353.28471826
Chile,CHL,2005,9231.01961228,1319.50595592
Chile,CHL,2006,9190.32303488,1282.39572492
Chile,CHL,2010,10008.0848232,1331.77124805
Chile,CHL,2016,10828.268643,1472.38010281
China,CHN,1990,1402682.06549,285317.053757
China,CHN,1995,1593362.44131,278789.238902
China,CHN,2000,1766871.93238,257343.906208
China,CHN,2005,1826366.99162,243381.704978
China,CHN,2006,1762404.88252,236338.181702
China,CHN,2010,1784484.13786,231492.553585
China,CHN,2016,1759071.54637,231455.697297
Colombia,COL,1990,14222.9087679,2896.53628504
Colombia,COL,1995,15766.3461292,3073.32045912
Colombia,COL,2000,16773.282283,3104.94316952
Colombia,COL,2005,18323.8838706,2931.85122113
Colombia,COL,2006,19095.9745611,2942.30882174
Colombia,COL,2010,19325.8805935,2832.96859726
Colombia,COL,2016,18474.6597692,2856.72556653
Comoros,COM,1990,138.320385735,62.9311479592
Comoros,COM,1995,152.625866633,62.6106399667
Comoros,COM,2000,152.046567405,58.061076439
Comoros,COM,2005,147.249117475,49.6822855178
Comoros,COM,2006,150.419985887,49.2474187869
Comoros,COM,2010,152.069309443,45.3257022085
Comoros,COM,2016,154.063145777,40.2441301629
Congo,COG,1990,1165.18018393,257.868539278
Congo,COG,1995,1286.07337723,297.638882394
Congo,COG,2000,1202.41513208,306.334582512
Congo,COG,2005,999.673556989,296.159120198
Congo,COG,2006,1000.44326177,292.695496425
Congo,COG,2010,1046.41971136,261.922673551
Congo,COG,2016,1246.49178476,242.265035283
Costa Rica,CRI,1990,742.065373964,179.283155232
Costa Rica,CRI,1995,860.131593708,188.485470839
Costa Rica,CRI,2000,1023.40009409,188.502015547
Costa Rica,CRI,2005,977.590662448,163.81465212
Costa Rica,CRI,2006,935.048623483,159.512313356
Costa Rica,CRI,2010,898.743392492,156.310313327
Costa Rica,CRI,2016,1014.62680668,195.646109973
Cote d'Ivoire,CIV,1990,3446.20750788,1915.99906836
Cote d'Ivoire,CIV,1995,4755.30284847,2298.57009417
Cote d'Ivoire,CIV,2000,5154.26087902,2479.87659058
Cote d'Ivoire,CIV,2005,5146.8951584,2722.73220426
Cote d'Ivoire,CIV,2006,5227.59328872,2767.42511699
Cote d'Ivoire,CIV,2010,5531.0698858,2370.32743319
Cote d'Ivoire,CIV,2016,6605.71370364,2631.36701775
Croatia,HRV,1990,11027.5738642,1370.28336695
Croatia,HRV,1995,10516.0484628,1403.60430816
Croatia,HRV,2000,9831.33966707,1318.13883591
Croatia,HRV,2005,9129.44434358,1361.45923387
Croatia,HRV,2006,9056.70902031,1350.08799577
Croatia,HRV,2010,8812.06240446,1300.20883543
Croatia,HRV,2016,8514.51224281,1280.78267468
Cuba,CUB,1990,13685.6324438,1757.49894553
Cuba,CUB,1995,14386.489269,1947.45437865
Cuba,CUB,2000,14984.8864302,1888.25717658
Cuba,CUB,2005,16113.1881794,1794.29909356
Cuba,CUB,2006,16285.2870178,1772.91347563
Cuba,CUB,2010,16815.9487285,1691.81021636
Cuba,CUB,2016,18044.2093951,1757.23074006
Cyprus,CYP,1990,661.416806853,107.528686397
Cyprus,CYP,1995,701.153014984,116.831600352
Cyprus,CYP,2000,692.324916734,112.766661244
Cyprus,CYP,2005,766.599276883,106.325232587
Cyprus,CYP,2006,750.159290274,103.722420027
Cyprus,CYP,2010,820.318420326,101.665854182
Cyprus,CYP,2016,835.613454169,108.392061967
Czech Republic,CZE,1990,23843.2771465,2687.87638706
Czech Republic,CZE,1995,21026.4535481,2270.21690355
Czech Republic,CZE,2000,19413.2494674,1987.31927117
Czech Republic,CZE,2005,18222.7106784,1967.83990893
Czech Republic,CZE,2006,17850.5753764,1953.71790079
Czech Republic,CZE,2010,17636.597032,2010.98260474
Czech Republic,CZE,2016,15938.3174837,2007.52653802
Democratic Republic of Congo,COD,1990,8520.08727906,3665.72407536
Democratic Republic of Congo,COD,1995,10111.3717374,4144.12263219
Democratic Republic of Congo,COD,2000,11692.2508755,4587.69159831
Democratic Republic of Congo,COD,2005,12547.9906897,4533.93714503
Democratic Republic of Congo,COD,2006,12867.309086,4499.8223797
Democratic Republic of Congo,COD,2010,15146.7787047,4464.63007561
Democratic Republic of Congo,COD,2016,18509.1023,3984.71563695
Denmark,DNK,1990,14593.813585,534.001052722
Denmark,DNK,1995,14939.4385417,507.594369505
